Country,City,Pct_Proportion_of_land_Allocate,Street_density_Km_per_Km2,Intersection_density_No_per_Km2,Regions,Area_of_Interest,ObjectId
Russia,Saint Petersburg,8.3,7.3,37.9,"Europe, Northern America and Oceania",Sub-urban area,75
Spain,Barcelona,13,10.1,54.7,"Europe, Northern America and Oceania",Sub-urban area,76
United Kingdom,London,15,13.6,103,"Europe, Northern America and Oceania",Sub-urban area,77
United States of America,Los Angeles,,,,"Europe, Northern America and Oceania",Sub-urban area,78
United States of America,New York,12.3,11.4,72.3,"Europe, Northern America and Oceania",Sub-urban area,79
United States of America,Phoenix,,,,"Europe, Northern America and Oceania",Sub-urban area,80
United States of America,"Washington, D.C.",,,,"Europe, Northern America and Oceania",Sub-urban area,81
China,Beijing,6.1,4.3,12.8," Africa, Asia, Latin America and the Caribbean",Sub-urban area,89
Hong Kong,Hong Kong,9.1,10.9,50.8," Africa, Asia, Latin America and the Caribbean",Sub-urban area,90
India,Kolkota,9,12.6,113.3," Africa, Asia, Latin America and the Caribbean",Sub-urban area,100
Japan,Tokyo,12.4,0,0," Africa, Asia, Latin America and the Caribbean",Sub-urban area,103
Singapore,Singapore,9.9,7.8,32," Africa, Asia, Latin America and the Caribbean",Sub-urban area,114
Thailand,Bangkok,5.8,5.3,20.8," Africa, Asia, Latin America and the Caribbean",Sub-urban area,117
Australia,Sydney,0,15.7,0,"Europe, Northern America and Oceania",Total,119
Belgium,Brussels,19.4,,,"Europe, Northern America and Oceania",Total,123
Canada,Calgary,15.5,8.3,39.1,"Europe, Northern America and Oceania",Total,124
Canada,Montreal,0,14.4,0,"Europe, Northern America and Oceania",Total,125
Canada,Toronto,27.8,16.4,125.4,"Europe, Northern America and Oceania",Total,126
Denmark,Copenhagen,15.7,,,"Europe, Northern America and Oceania",Total,127
Finland,Helsinki,16.4,,,"Europe, Northern America and Oceania",Total,128
France,Paris,21.4,,,"Europe, Northern America and Oceania",Total,129
Greece,Athens,21,,,"Europe, Northern America and Oceania",Total,130
Netherlands,Amsterdam,20.3,,,"Europe, Northern America and Oceania",Total,131
Newzealand,Auckland,14.1,,,"Europe, Northern America and Oceania",Total,132
Russia,Moscow,,,,"Europe, Northern America and Oceania",Total,133
Russia,Saint Petersburg,13.4,,,"Europe, Northern America and Oceania",Total,134
Spain,Barcelona,33,,,"Europe, Northern America and Oceania",Total,135
United Kingdom,London,0,,,"Europe, Northern America and Oceania",Total,136
United States of America,Los Angeles,,,,"Europe, Northern America and Oceania",Total,137
United States of America,New York,24.1,,,"Europe, Northern America and Oceania",Total,138
United States of America,Phoenix,,,,"Europe, Northern America and Oceania",Total,139
United States of America,"Washington, D.C.",,,,"Europe, Northern America and Oceania",Total,140
Bangladesh,Dhaka,5.7,7.7,," Africa, Asia, Latin America and the Caribbean",Total,142
China,Beijing,12.6,21.4,," Africa, Asia, Latin America and the Caribbean",Total,148
Hong Kong,Hong Kong,21.4,46.6,," Africa, Asia, Latin America and the Caribbean",Total,149
India,Kolkata,12.1,35.2,," Africa, Asia, Latin America and the Caribbean",Total,159
India,Mumbai,10,13.7,74," Africa, Asia, Latin America and the Caribbean",Total,160
Indonesia,Jakarta,9.5,7.76,0," Africa, Asia, Latin America and the Caribbean",Total,161
Japan,Tokyo,20.6,30.2,," Africa, Asia, Latin America and the Caribbean",Total,162
Malaysia,Kuala Lumpur,13.5,13,76.2," Africa, Asia, Latin America and the Caribbean",Total,164
Singapore,Singapore,15.8,24.7,," Africa, Asia, Latin America and the Caribbean",Total,173
Thailand,Bangkok,10.8,20.2,," Africa, Asia, Latin America and the Caribbean",Total,176
